cms_code_enc,window_end,item_count,total_fee,complaint_count,delay_rate_pct,nodone_rate_pct,avg_order_value,service_types,active_months,risk_latent_for_generation
SYN-LG-0009,2412,178,23980872,2,5.44,3.17,134724,5,6,0.751
SYN-LG-0009,2501,178,22843096,3,5.94,4.42,128332,5,6,0.751
SYN-LG-0009,2502,158,19076446,3,7.87,5.6,120737,4,6,0.751
SYN-LG-0009,2503,129,14623440,4,8.44,6.42,113360,4,6,0.751
SYN-LG-0009,2504,128,13749504,4,9.56,7.3,107418,4,6,0.751
SYN-LG-0009,2505,78,7174128,7,13.98,10.56,91976,2,6,0.751
SYN-LG-0010,2412,80,6427920,2,3.18,4.54,80349,6,6,0.73
SYN-LG-0010,2501,72,5298768,2,4.44,5.09,73594,6,6,0.73
SYN-LG-0010,2502,62,4547514,4,5.25,6.0,73347,5,6,0.73
SYN-LG-0010,2503,58,3825970,3,6.53,7.18,65965,5,6,0.73
SYN-LG-0010,2504,52,3213080,5,8.12,8.06,61790,5,6,0.73
SYN-LG-0010,2505,33,1830543,8,11.59,11.42,55471,4,6,0.73
SYN-LG-0011,2412,256,40101120,0,3.91,4.29,156645,3,6,0.709
SYN-LG-0011,2501,224,32271456,1,4.28,5.4,144069,3,6,0.709
SYN-LG-0011,2502,208,29135184,2,5.66,6.29,140073,2,6,0.709
SYN-LG-0011,2503,191,24465763,1,7.36,7.14,128093,2,6,0.709
SYN-LG-0011,2504,166,20354090,2,8.05,7.9,122615,2,6,0.709
SYN-LG-0011,2505,107,11924936,5,11.82,10.79,111448,1,6,0.709
SYN-LG-0012,2412,224,18068736,0,5.55,3.25,80664,4,6,0.688
SYN-LG-0012,2501,194,15373336,1,7.35,3.84,79244,4,6,0.688
SYN-LG-0012,2502,168,12900720,2,7.89,5.28,76790,3,6,0.688
SYN-LG-0012,2503,163,11098670,2,9.65,6.03,68090,3,6,0.688
SYN-LG-0012,2504,136,9511160,2,9.83,6.76,69935,3,6,0.688
SYN-LG-0012,2505,90,5248620,5,13.77,9.59,58318,2,6,0.688
SYN-LG-0013,2412,138,9122904,1,5.55,3.66,66108,5,6,0.667
SYN-LG-0013,2501,115,7171860,2,6.37,4.92,62364,5,6,0.667
SYN-LG-0013,2502,104,6500416,2,7.34,5.16,62504,4,6,0.667
SYN-LG-0013,2503,98,5770926,3,8.55,6.23,58887,4,6,0.667
SYN-LG-0013,2504,84,4917864,3,10.31,7.11,58546,4,6,0.667
SYN-LG-0013,2505,60,3019860,6,14.08,9.77,50331,3,6,0.667
SYN-LG-0014,2412,240,26681040,3,5.99,3.36,111171,4,1,0.646
SYN-LG-0014,2501,242,26134548,2,6.37,3.72,107994,4,2,0.646
SYN-LG-0014,2502,224,23676576,3,7.59,4.29,105699,3,3,0.646
SYN-LG-0014,2503,202,20702374,4,8.68,5.28,102487,3,4,0.646
SYN-LG-0014,2504,180,17721180,4,9.72,6.04,98451,3,5,0.646
SYN-LG-0014,2505,118,10149062,7,13.19,8.71,86009,2,6,0.646
SYN-LG-0015,2412,247,22547889,0,4.68,4.03,91287,6,6,0.625
SYN-LG-0015,2501,214,19113196,1,5.58,4.12,89314,6,6,0.625
SYN-LG-0015,2502,209,18352708,1,7.44,5.3,87812,6,6,0.625
SYN-LG-0015,2503,199,15868260,1,7.94,6.09,79740,5,6,0.625
SYN-LG-0015,2504,184,14773176,3,9.51,6.96,80289,5,6,0.625
SYN-LG-0015,2505,121,8027382,5,13.03,9.61,66342,4,6,0.625
SYN-LG-0016,2412,125,12514125,1,3.55,3.04,100113,5,6,0.604
SYN-LG-0016,2501,110,10964140,1,4.34,3.45,99674,5,6,0.604
SYN-LG-0016,2502,116,10975688,2,5.24,3.83,94618,5,6,0.604
SYN-LG-0016,2503,104,9785568,2,6.69,5.13,94092,4,6,0.604
SYN-LG-0016,2504,88,7812904,3,7.39,5.88,88783,4,6,0.604
SYN-LG-0016,2505,59,4353846,6,10.84,8.33,73794,3,6,0.604
SYN-LG-0017,2412,244,36532412,0,3.7,4.51,149723,4,6,0.583
SYN-LG-0017,2501,246,33662148,0,4.1,5.02,136838,4,6,0.583
SYN-LG-0017,2502,235,30624965,1,4.87,5.55,130319,4,6,0.583
SYN-LG-0017,2503,206,27241646,1,5.83,6.63,132241,3,6,0.583
SYN-LG-0017,2504,182,21830900,2,7.16,6.87,119950,3,6,0.583
SYN-LG-0017,2505,135,14372775,4,9.76,9.72,106465,2,6,0.583
SYN-LG-0018,2412,104,17197856,2,2.23,4.74,165364,3,6,0.562
SYN-LG-0018,2501,96,15342336,3,3.36,5.43,159816,3,6,0.562
SYN-LG-0018,2502,94,15155056,3,4.26,5.99,161224,3,6,0.562
SYN-LG-0018,2503,88,13791536,3,5.56,6.41,156722,2,6,0.562
SYN-LG-0018,2504,73,10525870,4,6.13,6.99,144190,2,6,0.562
SYN-LG-0018,2505,58,7214620,6,8.96,9.75,124390,1,6,0.562
SYN-LG-0019,2412,167,29497878,0,4.65,4.05,176634,3,6,0.541
SYN-LG-0019,2501,153,27043515,0,5.98,4.66,176755,3,6,0.541
SYN-LG-0019,2502,149,25951479,0,6.94,5.76,174171,3,6,0.541
SYN-LG-0019,2503,143,23304567,2,7.24,5.98,162969,2,6,0.541
SYN-LG-0019,2504,129,20315694,2,8.63,6.55,157486,2,6,0.541
SYN-LG-0019,2505,98,14239008,4,11.51,9.14,145296,1,6,0.541
SYN-LG-0020,2412,149,25558119,1,2.42,3.87,171531,3,6,0.52
SYN-LG-0020,2501,126,19810980,1,2.89,4.17,157230,3,6,0.52
SYN-LG-0020,2502,121,18948842,1,4.31,4.79,156602,3,6,0.52
SYN-LG-0020,2503,108,16409952,2,5.15,5.26,151944,2,6,0.52
SYN-LG-0020,2504,108,15950196,3,5.76,6.38,147687,2,6,0.52
SYN-LG-0020,2505,75,9992625,6,9.03,8.5,133235,1,6,0.52
SYN-LG-0021,2412,245,24412290,1,4.44,2.07,99642,4,1,0.499
SYN-LG-0021,2501,237,23190687,1,5.16,2.83,97851,4,2,0.499
SYN-LG-0021,2502,230,21061100,1,5.91,2.87,91570,4,3,0.499
SYN-LG-0021,2503,224,21259840,3,7.2,3.59,94910,3,4,0.499
SYN-LG-0021,2504,202,18069910,2,7.38,4.63,89455,3,5,0.499
SYN-LG-0021,2505,156,11987664,4,9.82,6.64,76844,2,6,0.499
SYN-LG-0022,2412,225,38011275,0,4.18,4.96,168939,6,6,0.478
SYN-LG-0022,2501,226,36852012,0,5.31,5.8,163062,6,6,0.478
SYN-LG-0022,2502,202,32112344,0,6.21,6.07,158972,6,6,0.478
SYN-LG-0022,2503,198,31250340,1,7.21,6.79,157830,5,6,0.478
SYN-LG-0022,2504,175,25236050,2,7.86,6.82,144206,5,6,0.478
SYN-LG-0022,2505,142,19306178,3,10.56,8.95,135959,4,6,0.478
SYN-LG-0023,2412,171,14834592,1,5.94,4.42,86752,4,6,0.457
SYN-LG-0023,2501,172,15170916,2,6.38,5.63,88203,4,6,0.457
SYN-LG-0023,2502,152,12542280,2,7.71,5.55,82515,4,6,0.457
SYN-LG-0023,2503,141,11838783,2,8.36,6.18,83963,3,6,0.457
SYN-LG-0023,2504,133,10511522,3,8.71,6.69,79034,3,6,0.457
SYN-LG-0023,2505,102,7464564,4,11.7,9.14,73182,2,6,0.457
SYN-LG-0024,2412,246,46418970,1,4.77,3.16,188695,4,6,0.436
SYN-LG-0024,2501,241,44248082,1,5.2,3.35,183602,4,6,0.436
SYN-LG-0024,2502,217,36767612,2,5.88,3.66,169436,4,6,0.436
SYN-LG-0024,2503,194,33360822,2,6.42,4.69,171963,3,6,0.436
SYN-LG-0024,2504,187,31121475,2,7.17,5.02,166425,3,6,0.436
SYN-LG-0024,2505,160,23401280,4,9.55,6.57,146258,3,6,0.436
SYN-LG-0025,2412,122,14466516,0,5.38,2.57,118578,6,6,0.415
SYN-LG-0025,2501,112,12477920,1,5.61,2.49,111410,6,6,0.415
SYN-LG-0025,2502,108,12029040,1,7.03,3.19,111380,6,6,0.415
SYN-LG-0025,2503,103,11337622,2,6.86,4.17,110074,6,6,0.415
SYN-LG-0025,2504,89,9040798,1,7.4,4.08,101582,5,6,0.415
SYN-LG-0025,2505,79,7299679,3,10.34,6.14,92401,5,6,0.415
SYN-LG-0026,2412,141,16364883,0,3.58,4.5,116063,3,6,0.394
SYN-LG-0026,2501,141,16451457,0,3.72,4.83,116677,3,6,0.394
SYN-LG-0026,2502,133,15712753,0,4.87,5.34,118141,3,6,0.394
SYN-LG-0026,2503,132,14302860,1,5.19,6.08,108355,3,6,0.394
SYN-LG-0026,2504,124,13093160,1,6.19,6.88,105590,2,6,0.394
SYN-LG-0026,2505,96,9843360,3,8.71,8.42,102535,2,6,0.394
SYN-LG-0027,2412,77,6918989,2,4.42,3.4,89857,3,6,0.373
SYN-LG-0027,2501,71,6297842,3,4.95,3.96,88702,3,6,0.373
SYN-LG-0027,2502,62,5362318,2,5.96,4.36,86489,3,6,0.373
SYN-LG-0027,2503,59,4803957,3,6.31,4.84,81423,3,6,0.373
SYN-LG-0027,2504,63,5315562,3,7.11,4.68,84374,2,6,0.373
SYN-LG-0027,2505,48,3636576,5,9.5,6.9,75762,2,6,0.373
SYN-LG-0028,2412,79,10175200,0,5.56,2.18,128800,6,1,0.352
SYN-LG-0028,2501,77,9668274,0,6.88,3.3,125562,6,2,0.352
SYN-LG-0028,2502,80,9326640,1,7.25,3.8,116583,6,3,0.352
SYN-LG-0028,2503,75,8959200,1,7.18,3.66,119456,6,4,0.352
SYN-LG-0028,2504,74,8533014,2,8.27,4.01,115311,5,5,0.352
SYN-LG-0028,2505,57,6184557,2,10.49,5.76,108501,5,6,0.352
SYN-LG-0029,2412,105,19801635,0,4.53,4.05,188587,6,6,0.331
SYN-LG-0029,2501,99,17715159,0,4.84,4.55,178941,6,6,0.331
SYN-LG-0029,2502,94,16419450,1,5.97,4.52,174675,6,6,0.331
SYN-LG-0029,2503,90,15710670,1,6.45,4.89,174563,6,6,0.331
SYN-LG-0029,2504,93,16148985,1,6.47,5.26,173645,5,6,0.331
SYN-LG-0029,2505,80,12893920,3,8.98,6.67,161174,5,6,0.331
SYN-LG-0030,2412,139,23362842,1,2.18,1.79,168078,6,6,0.31
SYN-LG-0030,2501,131,21301255,2,3.28,2.9,162605,6,6,0.31
SYN-LG-0030,2502,126,20074950,3,3.47,3.13,159325,6,6,0.31
SYN-LG-0030,2503,112,17687824,2,4.37,3.65,157927,6,6,0.31
SYN-LG-0030,2504,118,19191638,3,4.7,3.6,162641,6,6,0.31
SYN-LG-0030,2505,92,13610480,4,6.42,4.78,147940,5,6,0.31
