cms_code_enc,window_end,predict_period,item_last,revenue_last,complaint_last,delay_last,nodone_last,order_score_last,satisfaction_last,churn_rate,model_probability_pct,reason_1,reason_1_code,reason_1_metric,reason_1_baseline,reason_1_delta,reason_1_delta_pct,reason_1_severity,reason_2,reason_2_code,reason_2_metric,reason_2_baseline,reason_2_delta,reason_2_delta_pct,reason_2_severity,reason_3,reason_3_code,reason_3_metric,reason_3_baseline,reason_3_delta,reason_3_delta_pct,reason_3_severity,updated_at
SYN-LG-0011,2505,2507,107,11924936,5,11.82,10.79,3.59,3.58,0.7553,75.53,Số bưu gửi tháng hiện tại thấp hơn 43% so với trung bình 3 tháng liền trước,item_drop,107.0,188.33,-81.33,0.4319,10.4319,Số lượng khiếu nại nhận được tăng 200% so với trung bình 3 tháng liền trước,complaint_increase,5.0,1.67,3.33,2.0,11.0,Tỷ lệ số đơn giao muộn tăng 68% so với trung bình 3 tháng liền trước,delay_rate_increase,11.82,7.02,4.8,0.683,8.683,2025-06-02T08:00:00Z
SYN-LG-0012,2505,2507,90,5248620,5,13.77,9.59,3.53,3.61,0.7454,74.54,Số bưu gửi tháng hiện tại thấp hơn 42% so với trung bình 3 tháng liền trước,item_drop,90.0,155.67,-65.67,0.4218,10.4218,Số lượng khiếu nại nhận được tăng 150% so với trung bình 3 tháng liền trước,complaint_increase,5.0,2.0,3.0,1.5,10.5,Tỷ lệ số đơn giao muộn tăng 51% so với trung bình 3 tháng liền trước,delay_rate_increase,13.77,9.12,4.65,0.5093,8.5093,2025-06-02T08:00:00Z
SYN-LG-0013,2505,2507,60,3019860,6,14.08,9.77,3.63,3.74,0.7281,72.81,Số lượng khiếu nại nhận được tăng 125% so với trung bình 3 tháng liền trước,complaint_increase,6.0,2.67,3.33,1.25,10.25,Tỷ lệ số đơn giao muộn tăng 61% so với trung bình 3 tháng liền trước,delay_rate_increase,14.08,8.73,5.35,0.6122,8.6122,Tỷ lệ số đơn không hoàn thành tăng 58% so với trung bình 3 tháng liền trước,nodone_rate_increase,9.77,6.17,3.6,0.5843,7.5843,2025-06-02T08:00:00Z
SYN-LG-0014,2505,2507,118,10149062,7,13.19,8.71,3.7,3.53,0.7082,70.82,Số bưu gửi tháng hiện tại thấp hơn 42% so với trung bình 3 tháng liền trước,item_drop,118.0,202.0,-84.0,0.4158,10.4158,Số lượng khiếu nại nhận được tăng 91% so với trung bình 3 tháng liền trước,complaint_increase,7.0,3.67,3.33,0.9091,9.9091,Tỷ lệ số đơn giao muộn tăng 52% so với trung bình 3 tháng liền trước,delay_rate_increase,13.19,8.66,4.53,0.5225,8.5225,2025-06-02T08:00:00Z
SYN-LG-0015,2505,2507,121,8027382,5,13.03,9.61,3.61,3.57,0.686,68.6,Số lượng khiếu nại nhận được tăng 200% so với trung bình 3 tháng liền trước,complaint_increase,5.0,1.67,3.33,2.0,11.0,Tỷ lệ số đơn giao muộn tăng 57% so với trung bình 3 tháng liền trước,delay_rate_increase,13.03,8.3,4.73,0.5705,8.5705,Tỷ lệ số đơn không hoàn thành tăng 57% so với trung bình 3 tháng liền trước,nodone_rate_increase,9.61,6.12,3.49,0.5711,7.5711,2025-06-02T08:00:00Z
SYN-LG-0016,2505,2507,59,4353846,6,10.84,8.33,3.59,3.67,0.6722,67.22,Số bưu gửi tháng hiện tại thấp hơn 43% so với trung bình 3 tháng liền trước,item_drop,59.0,102.67,-43.67,0.4253,10.4253,Số lượng khiếu nại nhận được tăng 157% so với trung bình 3 tháng liền trước,complaint_increase,6.0,2.33,3.67,1.5714,10.5714,Tỷ lệ số đơn giao muộn tăng 68% so với trung bình 3 tháng liền trước,delay_rate_increase,10.84,6.44,4.4,0.6832,8.6832,2025-06-02T08:00:00Z
SYN-LG-0017,2505,2507,135,14372775,4,9.76,9.72,3.71,3.73,0.668,66.8,Số lượng khiếu nại nhận được tăng 200% so với trung bình 3 tháng liền trước,complaint_increase,4.0,1.33,2.67,2.0,11.0,Tỷ lệ số đơn giao muộn tăng 64% so với trung bình 3 tháng liền trước,delay_rate_increase,9.76,5.95,3.81,0.6394,8.6394,Tỷ lệ số đơn không hoàn thành tăng 53% so với trung bình 3 tháng liền trước,nodone_rate_increase,9.72,6.35,3.37,0.5307,7.5307,2025-06-02T08:00:00Z
SYN-LG-0018,2505,2507,58,7214620,6,8.96,9.75,3.72,3.93,0.6439,64.39,Số lượng khiếu nại nhận được tăng 80% so với trung bình 3 tháng liền trước,complaint_increase,6.0,3.33,2.67,0.8,9.8,Tỷ lệ số đơn giao muộn tăng 69% so với trung bình 3 tháng liền trước,delay_rate_increase,8.96,5.32,3.64,0.6853,8.6853,Tỷ lệ số đơn không hoàn thành tăng 51% so với trung bình 3 tháng liền trước,nodone_rate_increase,9.75,6.46,3.29,0.5085,7.5085,2025-06-02T08:00:00Z
SYN-LG-0019,2505,2507,98,14239008,4,11.51,9.14,3.86,3.74,0.6406,64.06,Số lượng khiếu nại nhận được tăng 200% so với trung bình 3 tháng liền trước,complaint_increase,4.0,1.33,2.67,2.0,11.0,Tỷ lệ số đơn giao muộn tăng 51% so với trung bình 3 tháng liền trước,delay_rate_increase,11.51,7.6,3.91,0.5138,8.5138,Tỷ lệ số đơn không hoàn thành tăng 50% so với trung bình 3 tháng liền trước,nodone_rate_increase,9.14,6.1,3.04,0.4992,7.4992,2025-06-02T08:00:00Z
SYN-LG-0020,2505,2507,75,9992625,6,9.03,8.5,3.76,3.83,0.6287,62.87,Số lượng khiếu nại nhận được tăng 200% so với trung bình 3 tháng liền trước,complaint_increase,6.0,2.0,4.0,2.0,11.0,Tỷ lệ số đơn giao muộn tăng 78% so với trung bình 3 tháng liền trước,delay_rate_increase,9.03,5.07,3.96,0.7799,8.7799,Tỷ lệ số đơn không hoàn thành tăng 55% so với trung bình 3 tháng liền trước,nodone_rate_increase,8.5,5.48,3.02,0.552,7.552,2025-06-02T08:00:00Z
SYN-LG-0021,2505,2507,156,11987664,4,9.82,6.64,3.94,3.92,0.6211,62.11,Số lượng khiếu nại nhận được tăng 100% so với trung bình 3 tháng liền trước,complaint_increase,4.0,2.0,2.0,1.0,10.0,Tỷ lệ số đơn giao muộn tăng 44% so với trung bình 3 tháng liền trước,delay_rate_increase,9.82,6.83,2.99,0.4378,8.4378,Tỷ lệ số đơn không hoàn thành tăng 80% so với trung bình 3 tháng liền trước,nodone_rate_increase,6.64,3.7,2.94,0.7962,7.7962,2025-06-02T08:00:00Z
SYN-LG-0022,2505,2507,142,19306178,3,10.56,8.95,4.04,4.02,0.5999,59.99,Số lượng khiếu nại nhận được tăng 200% so với trung bình 3 tháng liền trước,complaint_increase,3.0,1.0,2.0,2.0,11.0,Tỷ lệ số đơn giao muộn tăng 49% so với trung bình 3 tháng liền trước,delay_rate_increase,10.56,7.09,3.47,0.4887,8.4887,Tỷ lệ số đơn không hoàn thành tăng 36% so với trung bình 3 tháng liền trước,nodone_rate_increase,8.95,6.56,2.39,0.3643,7.3643,2025-06-02T08:00:00Z
SYN-LG-0023,2505,2507,102,7464564,4,11.7,9.14,3.84,3.91,0.5751,57.51,Số lượng khiếu nại nhận được tăng 71% so với trung bình 3 tháng liền trước,complaint_increase,4.0,2.33,1.67,0.7143,9.7143,Tỷ lệ số đơn giao muộn tăng 42% so với trung bình 3 tháng liền trước,delay_rate_increase,11.7,8.26,3.44,0.4165,8.4165,Tỷ lệ số đơn không hoàn thành tăng 49% so với trung bình 3 tháng liền trước,nodone_rate_increase,9.14,6.14,3.0,0.4886,7.4886,2025-06-02T08:00:00Z
SYN-LG-0024,2505,2507,160,23401280,4,9.55,6.57,3.93,4.14,0.5622,56.22,Số lượng khiếu nại nhận được tăng 100% so với trung bình 3 tháng liền trước,complaint_increase,4.0,2.0,2.0,1.0,10.0,Tỷ lệ số đơn giao muộn tăng 47% so với trung bình 3 tháng liền trước,delay_rate_increase,9.55,6.49,3.06,0.4715,8.4715,Tỷ lệ số đơn không hoàn thành tăng 47% so với trung bình 3 tháng liền trước,nodone_rate_increase,6.57,4.46,2.11,0.4742,7.4742,2025-06-02T08:00:00Z
SYN-LG-0025,2505,2507,79,7299679,3,10.34,6.14,4.0,4.08,0.5629,56.29,Số lượng khiếu nại nhận được tăng 125% so với trung bình 3 tháng liền trước,complaint_increase,3.0,1.33,1.67,1.25,10.25,Tỷ lệ số đơn giao muộn tăng 46% so với trung bình 3 tháng liền trước,delay_rate_increase,10.34,7.1,3.24,0.457,8.457,Tỷ lệ số đơn không hoàn thành tăng 61% so với trung bình 3 tháng liền trước,nodone_rate_increase,6.14,3.81,2.33,0.6101,7.6101,2025-06-02T08:00:00Z
SYN-LG-0026,2505,2507,96,9843360,3,8.71,8.42,4.22,4.06,0.5375,53.75,Số lượng khiếu nại nhận được tăng 350% so với trung bình 3 tháng liền trước,complaint_increase,3.0,0.67,2.33,3.5,12.5,Tỷ lệ số đơn giao muộn tăng 61% so với trung bình 3 tháng liền trước,delay_rate_increase,8.71,5.42,3.29,0.608,8.608,Tỷ lệ số đơn không hoàn thành tăng 38% so với trung bình 3 tháng liền trước,nodone_rate_increase,8.42,6.1,2.32,0.3803,7.3803,2025-06-02T08:00:00Z
SYN-LG-0027,2505,2507,48,3636576,5,9.5,6.9,4.05,4.12,0.5205,52.05,Số lượng khiếu nại nhận được tăng 88% so với trung bình 3 tháng liền trước,complaint_increase,5.0,2.67,2.33,0.875,9.875,Tỷ lệ số đơn giao muộn tăng 47% so với trung bình 3 tháng liền trước,delay_rate_increase,9.5,6.46,3.04,0.4706,8.4706,Tỷ lệ số đơn không hoàn thành tăng 49% so với trung bình 3 tháng liền trước,nodone_rate_increase,6.9,4.63,2.27,0.4914,7.4914,2025-06-02T08:00:00Z
SYN-LG-0028,2505,2507,57,6184557,2,10.49,5.76,4.19,4.26,0.5066,50.66,Số lượng khiếu nại nhận được tăng 50% so với trung bình 3 tháng liền trước,complaint_increase,2.0,1.33,0.67,0.5,9.5,Tỷ lệ số đơn giao muộn tăng 39% so với trung bình 3 tháng liền trước,delay_rate_increase,10.49,7.57,2.92,0.3863,8.3863,Tỷ lệ số đơn không hoàn thành tăng 51% so với trung bình 3 tháng liền trước,nodone_rate_increase,5.76,3.82,1.94,0.5065,7.5065,2025-06-02T08:00:00Z
SYN-LG-0029,2505,2507,80,12893920,3,8.98,6.67,4.12,4.32,0.496,49.6,Số lượng khiếu nại nhận được tăng 200% so với trung bình 3 tháng liền trước,complaint_increase,3.0,1.0,2.0,2.0,11.0,Tỷ lệ số đơn giao muộn tăng 43% so với trung bình 3 tháng liền trước,delay_rate_increase,8.98,6.3,2.68,0.4262,8.4262,Tỷ lệ số đơn không hoàn thành tăng 36% so với trung bình 3 tháng liền trước,nodone_rate_increase,6.67,4.89,1.78,0.364,7.364,2025-06-02T08:00:00Z
SYN-LG-0030,2505,2507,92,13610480,4,6.42,4.78,4.12,4.07,0.4848,48.48,Số lượng khiếu nại nhận được tăng 50% so với trung bình 3 tháng liền trước,complaint_increase,4.0,2.67,1.33,0.5,9.5,Tỷ lệ số đơn giao muộn tăng 54% so với trung bình 3 tháng liền trước,delay_rate_increase,6.42,4.18,2.24,0.5359,8.5359,Tỷ lệ số đơn không hoàn thành tăng 38% so với trung bình 3 tháng liền trước,nodone_rate_increase,4.78,3.46,1.32,0.3815,7.3815,2025-06-02T08:00:00Z
